,name,gender_predicted,accuracy
666,kumud,male,58
667,marvinz,male,75
668,raj,male,98
669,dush,male,81
670,holiday,female,100
671,kanzen,male,100
672,jinchu,female,100
673,hiex,male,75
674,darryl,male,99
675,loretto,female,86
676,the,male,87
677,merkur,male,86
678,com,male,79
679,hindol,male,100
680,khya,female,87
681,arfat,male,97
682,queen,female,100
683,queen,female,100
684,tiana,female,98
685,helmsley,male,75
686,ariefzain,male,75
687,redpool,male,75
688,matilda,female,99
689,hasa,male,85
690,gmm,male,63
691,khairuddin,male,99
692,praveen,male,100
693,raj,male,98
694,our,male,78
695,angela,female,98
696,ruth,female,98
697,knightmare,male,100
698,eric,male,99
699,volleyball,female,75
700,uk,male,84
701,cam,male,69
702,chimeziri,male,75
703,adriano,male,99
704,clyde,male,99
705,amelia,female,98
706,vanlife,male,75
707,alfons,male,96
708,isa,female,59
709,keemo,male,94
710,streamer,male,80
711,carbon,male,100
712,graphic,male,91
713,aleia,female,98
714,candy,female,100
715,pocs,male,75
716,sir,male,97
717,tony,male,99
718,jesus,male,98
719,kay,female,54
720,hachiko,female,75
721,ashan,male,98
722,tony,male,99
723,marty,male,67
724,whitney,female,95
725,jimmy,male,98
726,genesi,female,74
727,nenad,male,99
728,aziz,male,97
729,nicole,female,98
730,thomas,male,99
731,george,male,99
732,abdel,male,98
733,aranina,female,75
734,new,male,71
735,russell,male,99
736,galo,male,97
737,patty,female,96
738,sfi,male,68
739,teresa,female,98
740,stopper,male,92
