_id,username,name,followers_count,friends_count,favourites_count,statuses_count,after_name,gender,gender_accuracy
5ec97ddf45aa29c1ab606e5d,EMILIOMARINROIG,Emilioteayuda.com,2620,1311,71348,79236,com,male,79
5ec97de045aa29c1ab606e5e,Bongusandisiwe,Bongusandisiwe_Gumede,1865,446,96566,18491
5ec97de145aa29c1ab606e5f,writin4change,Janet Ilko. EdD,1297,1417,4149,12830,janet,female,98
5ec97de145aa29c1ab606e60,CosoroRadio,Cosoro Radio UK,65662,45145,202370,471019,uk,male,84
5ec97de245aa29c1ab606e61,nripesh_kashyap,DIE HARD ADIAN  🇮🇳,1279,3969,146928,171722,die,male,66
5ec97de345aa29c1ab606e62,DrJennyRose,Dr Jenny Rose,2376,3513,29467,7685,dr,male,91
5ec97de345aa29c1ab606e63,eurasianabe,agungabesurya™,206,156,12,5186
5ec97de445aa29c1ab606e64,Nelima2018,ENelima,166,544,1110,182,nelima,female,100
5ec97de545aa29c1ab606e65,bwplusprairiein,BW Plus Prairie Inn,52,0,0,1584,bw,male,83
5ec97de645aa29c1ab606e66,ShirichieKudo,Richie Sambora,229,224,34,3944,richie,male,97
5ec97de745aa29c1ab606e67,brentphoto_nyc,Brent Wilkins 🇺🇸🇫🇷,456,2583,1177,7005,brent,male,100
5ec97de745aa29c1ab606e68,AGUILERA_Jonath,Scránny® Jonnathan,697,455,10636,231955,jonnathan,male,100
5ec97de845aa29c1ab606e69,BrookhavenLaw,Sarah Siedentopf,67,99,10,1230,sarah,female,98
5ec97de945aa29c1ab606e6a,Amber02150,Heather💝,55151,1629,138993,188693,amber,female,97
5ec97de945aa29c1ab606e6b,NewMediaMB,New Media Manitoba,4167,894,3300,8174,new,male,71
5ec97dea45aa29c1ab606e6c,BeachBreakCoz,Beach Break-Cozumel,3,87,19,120,cozumel,male,71
5ec97deb45aa29c1ab606e6d,TF9JA,TF,449,60,1434,7381,tf,male,78
5ec97deb45aa29c1ab606e6e,shineforeuer,tek. lock,86,136,50,1354,tek,male,88
5ec97dec45aa29c1ab606e6f,lilannie11,Ann,769,1076,23339,10945,lilannie,female,75
5ec97ded45aa29c1ab606e70,Oswaldo01724452,Oswaldo Granados,195,485,63285,25403,oswaldo,male,100
5ec97dee45aa29c1ab606e71,Amber02150,Heather💝,55150,1629,138993,188693,amber,female,97
5ec97dee45aa29c1ab606e72,alejo_mansilla,panfletito,102,1185,5396,4022,alejo,male,90
5ec97def45aa29c1ab606e73,SajidAli418,sajid khan,206,1589,2867,2694,sajidali,male,95
5ec97df045aa29c1ab606e74,rcoupon4,Rcoupon4,3,51,0,54
5ec97df045aa29c1ab606e75,HeisLindo,baby's baby,281,317,7681,8487,baby,male,100
5ec97df145aa29c1ab606e76,doublepizzle07,Thomas,1259,1319,15167,60829,thomas,male,99
5ec97df145aa29c1ab606e77,pausedbycovid,paused,23,18,0,40,paused,male,100
5ec97df245aa29c1ab606e78,PAturnpikefan,🐙🐙🐙,245,409,35333,32693
5ec97df345aa29c1ab606e79,GowthamCharan6,Rebel Star 🔥🤙🏻,133,217,9920,3727,rebel,female,100
5ec97df445aa29c1ab606e7a,ShersSun,3Glow,310,218,109676,67003,glow,female,62
5ec97df545aa29c1ab606e7b,rumanticolatino,Bozbici Lenut Milut,138,192,54570,23038,bozbici,female,75
5ec97df545aa29c1ab606e7c,IrvSmith8284,IRV Smith,4760,5238,99478,53629,irv,male,98
5ec97df645aa29c1ab606e7d,Bader_AlQabandi,بدر القبندي,7413,454,12,42729
5ec97df745aa29c1ab606e7e,tidd13,nathan,34,202,4234,1403,tidd,male,100
5ec97df845aa29c1ab606e7f,anna_birch1,Anna Birch,644,1115,8579,3378,anna,female,98
5ec97df845aa29c1ab606e80,DT_Educ,Dogs Trust Education,12652,2196,267,2873,dog,male,80
5ec97df945aa29c1ab606e81,italianostyle2,Francisco,93250,88012,45795,71682,francisco,male,99
5ec97dfa45aa29c1ab606e82,lorenmillerCH,Loren M - Claire House,182,319,1689,724,loren,male,55
5ec97dfa45aa29c1ab606e83,RoseannaChew,Roseanna Chew,160,1580,19868,7988,roseanna,female,98
5ec97dfb45aa29c1ab606e84,clarinetwoman2,michal beit halachmi 🔥,2745,4997,179744,373728,michal,male,97
5ec97dfc45aa29c1ab606e85,ffa800,Kaonashi,189,216,5334,30809,ffa,male,67
5ec97dfd45aa29c1ab606e86,JadeJensen29,Jade Jensen 🇺🇸☮️❄️🆘,7941,8726,347448,349374,jade,female,90
5ec97dfd45aa29c1ab606e87,BollywoodKnocks,Bollywood Knocks,144,18,35,1359,bollywood,male,75
5ec97dfe45aa29c1ab606e88,CrazeeFrench,CrazyFrench,2475,282,26895,16338
5ec97dff45aa29c1ab606e89,grxtzky,MeadowLands,384,131,1266,291042,meadowlands,male,75
5ec97dff45aa29c1ab606e8a,NaomKemunto5,Naom Kemunto🇰🇪,50272,21327,84463,39751,naom,female,75
5ec97e0045aa29c1ab606e8b,Yzaak06,Yzaak-El tigre dientes de sable,857,1553,41337,20886,yzaak,male,100
5ec97e0145aa29c1ab606e8c,thembi_kola,MsT #OurLand,8396,5885,43382,27062,mst,male,87
5ec97e0145aa29c1ab606e8d,adreano_calcio,Adreano Di Nardo,127,99,11130,1911,adreano,male,95
5ec97e0245aa29c1ab606e8e,Meish52,Meish .. #FBPE,868,890,33060,36052,meish,male,67
5ec97e0345aa29c1ab606e8f,NewDoggieMom,Lets Talk Dogs,19,56,42,94,let,female,67
5ec97e0345aa29c1ab606e90,FSLatBGSU,FSL@BGSU,1581,1007,406,2162,sl,male,90
5ec97e0445aa29c1ab606e91,valdecimatheus,V A L D E C O,634,68,24489,162199
5ec97e0545aa29c1ab606e92,sectest9,Security Testing,31164,1,7,1814885
5ec97e0545aa29c1ab606e93,Oi__4i,♥★ℌΞᕊ★♥,43669,42406,183938,322062
5ec97e0645aa29c1ab606e94,capegreco,Charis ⛵️,15855,7026,150159,161270,chari,female,91
5ec97e0745aa29c1ab606e95,CyberSecurityN8,Cyber Security News,4600,1,0,242008,cyber,male,89
5ec97e0745aa29c1ab606e96,akotopam,Akotopam News 🇿🇦,164,0,167,8279
5ec97e0845aa29c1ab606e97,f1gue_caro,Carolina Figueroa H.,248,635,642,8254,carolina,female,98
5ec97e0945aa29c1ab606e98,ELTAugusta,Augusta Avram,752,1230,4220,6024,augusta,female,95
5ec97e0945aa29c1ab606e99,parbinder_kaur,Parbinder kaur,139,245,1306,1699,parbinder,male,80
5ec97e0a45aa29c1ab606e9a,MirrorFootball,Mirror Football,589465,910,585,462303
5ec97e0b45aa29c1ab606e9b,PunyaSugu,Guru Prasad,239,491,17111,12711,guru,male,97
5ec97e0b45aa29c1ab606e9c,GilmoreFestival,Gilmore Keyboard Festival,1954,1534,1146,3625,gilmore,male,79
5ec97e0c45aa29c1ab606e9d,DisabilityUK,Focus on Disability,19576,2022,97,14833,on,male,79
5ec97e0d45aa29c1ab606e9e,NornickelGroup,Nornickel,9393,1132,674,4288
5ec97e0e45aa29c1ab606e9f,NuriyArisa,Nuriy,637,528,19851,50090,nuriy,male,67
5ec97e0e45aa29c1ab606ea0,thecricketmen,TheCricketMen,439,381,744,2591
5ec97e0f45aa29c1ab606ea1,AlyssaMF48,A F,101,101,17760,11065
5ec97e1045aa29c1ab606ea2,DesmondSafari,desmond safari,13,59,411,340,desmond,male,100
5ec97e1045aa29c1ab606ea3,kaminaswife,Lio chikito,15,200,2149,586,lio,male,88
5ec97e1145aa29c1ab606ea4,sachint43,sachint43,51,95,1743,1038,sachint,male,75
5ec97e1245aa29c1ab606ea5,realJohn_Stiles,John Stiles,379,610,1319,13310,john,male,99
5ec97e1345aa29c1ab606ea6,ForcedHappenst1,Forced  Happenstance,2641,4869,32886,47667,forced,male,75
5ec97e1445aa29c1ab606ea7,cupcakeali1,nadine walden,448,980,489,2480,nadine,female,98
5ec97e1445aa29c1ab606ea8,ajourjewelry,A Jour Jewelry,279,560,95,230,jour,male,64
5ec97e1545aa29c1ab606ea9,hanibear93,Hani is a zombie🌼,1115,1264,16995,19542,hani,male,84
5ec97e1645aa29c1ab606eaa,cupcakeali1,nadine walden,448,980,489,2480,nadine,female,98
5ec97e1645aa29c1ab606eab,MICThurles,MIC Thurles #StayAtHome,1072,999,1552,1540,mic,male,88
5ec97e1745aa29c1ab606eac,Stubborn44708,Stubborn,21,108,1705,1149,stubborn,male,71
5ec97e1845aa29c1ab606ead,twiithit,TwiitHIT,1251,5001,58325,137734
5ec97e1945aa29c1ab606eae,iamashwinrouth,Ashwin,81,3276,5862,2277,ashwin,male,99
5ec97e1945aa29c1ab606eaf,mariavartha,ΜΑΡΙΑ Β.,296,205,64596,27702
5ec97e1a45aa29c1ab606eb0,Kennedy252505,AnDy025,27,89,18573,2404,kennedy,female,89
5ec97e1b45aa29c1ab606eb1,FrankLlama,Frank Llama,129,137,306,388,frank,male,99
5ec97e1b45aa29c1ab606eb2,joyceamery,JM,338,539,7588,2616,jm,male,90
5ec97e1c45aa29c1ab606eb3,chickwhobiz,Alexandra Nestertchouk,538,148,7790,3212,alexandra,female,98
5ec97e1d45aa29c1ab606eb4,juambazoca,JUAMBAZOCA,385,407,408,7731
5ec97e1e45aa29c1ab606eb5,PQpromo,𝐏𝐐 🅟🅡🅞🅜🅞,173181,340,34,370730
5ec97e1e45aa29c1ab606eb6,SonokHakan,TÜRKİYE CUMHURİYETİ HAKAN SONOK,63478,66596,125144,699070,hakan,male,96
5ec97e1f45aa29c1ab606eb7,pataylor5,Tricia,42,160,6511,2044,tricia,female,98
