_id,username,word,emoji,hastag,len_word,len_emoji,len_hastag,len_emotion
5ed04acf682cbc70de4c52a2,brummyOT,"amaze, disney, plus, access, definitely, must, see",0,0,7,0,0,1
5ed04acf682cbc70de4c52a3,brummyOT,"love, soundtrack, uplifting, show, really, stand, count",0,0,7,0,0,4
5ed04acf682cbc70de4c52a4,brummyOT,"amaze, wonder, extra, funding, available, mental, health, service",0,['#NHS'],8,0,1,5
5ed04acf682cbc70de4c52a5,brummyOT,"today, task, deliver, bag, patient, extra, help, one, estates, colleague, today","with, eyes, face, smiling",['#teamwork'],11,4,1,2
5ed04ad0682cbc70de4c52a7,tobicious_abhay,"trend, naked",0,0,2,0,0,0
5ed04ad0682cbc70de4c52a8,tobicious_abhay,"student, let, obey, rule, safe",0,"['#COVID19', '#staysafe']",5,0,2,3
5ed04ad0682cbc70de4c52a9,tobicious_abhay,"premier, league, kick, offs, bst, weekend, friday, saturday, sunday, monday, midweek, tuesday, wednesday, thursday","police, car, light",['#ProjectRestart'],14,3,1,5
5ed04ad0682cbc70de4c52aa,tobicious_abhay,"top, five, league, return, date, lisa, june, premier, league, june, serie, june, bundesliga, already, return, logue, season, cancel","black, flag",0,18,2,0,3
5ed04ad0682cbc70de4c52ab,tobicious_abhay,"arsenal, away, kit, would, give, ten",0,0,6,0,0,0
5ed04ad0682cbc70de4c52ac,tobicious_abhay,"girl, reject, boy, leave, chat, unread",0,0,6,0,0,3
5ed04ad0682cbc70de4c52ad,tobicious_abhay,"relationship, make, sense, people, business, handle, affair, thing, everything, relationship, solely, partner, long, all, happy, thats, matter",0,0,17,0,0,6
5ed04ad0682cbc70de4c52ae,tobicious_abhay,"football, come, back, mean, yet, var, argument, feel, var","with, face, from, steam, nose",0,9,5,0,2
5ed04ad0682cbc70de4c52af,tobicious_abhay,"school, graduate, nyse, call, ill, fix, somewhere, dads, friend, tell, cant, believe, fell, scam, time, dalai","face, crying, loudly",0,16,3,0,5
5ed04ad0682cbc70de4c52b0,tobicious_abhay,"atm, swallow, card, someone, behind, ask, dey, pay",0,0,8,0,0,1
5ed04ad3682cbc70de4c52bd,Macaodah1,"one, favourites, collaborate, write, narrated, identity, control",0,0,7,0,0,0
5ed04ad3682cbc70de4c52be,Macaodah1,"really, get, hand, absolve, marx, marxist, philosophy, pretend, diaspora, wholly, infiltrated, medium, academia, cultural, marxist, frankfurt, school, mold, push, blame, americanism, rather, cancerous, tumor",0,0,24,0,0,3
5ed04ad3682cbc70de4c52bf,Macaodah1,"white, privilege, jewish, privilege",0,0,4,0,0,3
5ed04ad3682cbc70de4c52c0,Macaodah1,"take, white, woman, call, cop, black, guy, make, entire, country, forget, black, guy, routinely, beat, elderly, disable, white, man, nursing, home, tell, white, privilege, actual, thing, complete, fabrication",0,0,28,0,0,11
5ed04ad3682cbc70de4c52c1,Macaodah1,"new, piece, follow, subscribe, telegram",0,0,5,0,0,2
5ed04ad3682cbc70de4c52c2,Macaodah1,"hello, mayor, your, great, job, racist, city, burning, anyways",0,0,9,0,0,0
5ed04ad3682cbc70de4c52c3,Macaodah1,"massive, news, new, evidence, show, plan, parenthood, lie, sell, aborted, fetal, tissue, thousand, dollar, alex, jones, right",0,0,17,0,0,3
